1729950878.570493391: PING 192.168.6.14 (192.168.6.14) 56(84) bytes of data.
1729950890.249620336: 64 bytes from 192.168.6.14: icmp_seq=117 ttl=64 time=2.25 ms
1729950890.352518135: 64 bytes from 192.168.6.14: icmp_seq=118 ttl=64 time=4.76 ms
1729950890.452456648: 64 bytes from 192.168.6.14: icmp_seq=119 ttl=64 time=4.00 ms
1729950890.551280746: 64 bytes from 192.168.6.14: icmp_seq=120 ttl=64 time=2.98 ms
1729950890.653390453: 64 bytes from 192.168.6.14: icmp_seq=121 ttl=64 time=4.20 ms
1729950890.753377843: 64 bytes from 192.168.6.14: icmp_seq=122 ttl=64 time=3.87 ms
1729950890.854985455: 64 bytes from 192.168.6.14: icmp_seq=123 ttl=64 time=4.01 ms
1729950890.953920751: 64 bytes from 192.168.6.14: icmp_seq=124 ttl=64 time=2.56 ms
1729950891.055831867: 64 bytes from 192.168.6.14: icmp_seq=125 ttl=64 time=4.27 ms
1729950891.156331650: 64 bytes from 192.168.6.14: icmp_seq=126 ttl=64 time=3.61 ms
1729950891.257539719: 64 bytes from 192.168.6.14: icmp_seq=127 ttl=64 time=3.68 ms
1729950891.359472574: 64 bytes from 192.168.6.14: icmp_seq=128 ttl=64 time=4.58 ms
1729950891.460736933: 64 bytes from 192.168.6.14: icmp_seq=129 ttl=64 time=4.63 ms
1729950891.562708911: 64 bytes from 192.168.6.14: icmp_seq=130 ttl=64 time=6.13 ms
1729950891.661974455: 64 bytes from 192.168.6.14: icmp_seq=131 ttl=64 time=4.84 ms
1729950891.762223310: 64 bytes from 192.168.6.14: icmp_seq=132 ttl=64 time=5.43 ms
1729950891.862866456: 64 bytes from 192.168.6.14: icmp_seq=133 ttl=64 time=4.81 ms
1729950891.963952940: 64 bytes from 192.168.6.14: icmp_seq=134 ttl=64 time=4.93 ms
1729950892.064049887: 64 bytes from 192.168.6.14: icmp_seq=135 ttl=64 time=4.61 ms
1729950892.165697363: 64 bytes from 192.168.6.14: icmp_seq=136 ttl=64 time=5.57 ms
1729950892.265014166: 64 bytes from 192.168.6.14: icmp_seq=137 ttl=64 time=4.43 ms
1729950892.365196668: 64 bytes from 192.168.6.14: icmp_seq=138 ttl=64 time=3.90 ms
1729950892.466518330: 64 bytes from 192.168.6.14: icmp_seq=139 ttl=64 time=4.02 ms
1729950892.569701434: 64 bytes from 192.168.6.14: icmp_seq=140 ttl=64 time=5.78 ms
1729950892.670534515: 64 bytes from 192.168.6.14: icmp_seq=141 ttl=64 time=6.69 ms
