1729950878.597944758: PING 192.168.6.21 (192.168.6.21) 56(84) bytes of data.
1729950888.959653653: 64 bytes from 192.168.6.21: icmp_seq=104 ttl=63 time=1.63 ms
1729950889.061315704: 64 bytes from 192.168.6.21: icmp_seq=105 ttl=63 time=2.34 ms
1729950889.161297598: 64 bytes from 192.168.6.21: icmp_seq=106 ttl=63 time=2.15 ms
1729950889.262104678: 64 bytes from 192.168.6.21: icmp_seq=107 ttl=63 time=2.45 ms
1729950889.367516416: 64 bytes from 192.168.6.21: icmp_seq=108 ttl=63 time=6.22 ms
1729950889.463733035: 64 bytes from 192.168.6.21: icmp_seq=109 ttl=63 time=1.71 ms
1729950889.565693509: 64 bytes from 192.168.6.21: icmp_seq=110 ttl=63 time=2.54 ms
1729950889.665850560: 64 bytes from 192.168.6.21: icmp_seq=111 ttl=63 time=2.21 ms
1729950889.767104923: 64 bytes from 192.168.6.21: icmp_seq=112 ttl=63 time=2.42 ms
1729950889.872448116: 64 bytes from 192.168.6.21: icmp_seq=113 ttl=63 time=7.31 ms
1729950889.967132762: 64 bytes from 192.168.6.21: icmp_seq=114 ttl=63 time=1.54 ms
1729950890.069766210: 64 bytes from 192.168.6.21: icmp_seq=115 ttl=63 time=2.52 ms
1729950890.170702852: 64 bytes from 192.168.6.21: icmp_seq=116 ttl=63 time=3.15 ms
1729950890.271161099: 64 bytes from 192.168.6.21: icmp_seq=117 ttl=63 time=3.01 ms
1729950890.373375211: 64 bytes from 192.168.6.21: icmp_seq=118 ttl=63 time=4.35 ms
1729950890.471843532: 64 bytes from 192.168.6.21: icmp_seq=119 ttl=63 time=2.38 ms
1729950890.574357095: 64 bytes from 192.168.6.21: icmp_seq=120 ttl=63 time=3.59 ms
1729950890.672858216: 64 bytes from 192.168.6.21: icmp_seq=121 ttl=63 time=1.58 ms
1729950890.777015626: 64 bytes from 192.168.6.21: icmp_seq=122 ttl=63 time=5.30 ms
1729950890.876456627: 64 bytes from 192.168.6.21: icmp_seq=123 ttl=63 time=3.01 ms
1729950890.975357064: 64 bytes from 192.168.6.21: icmp_seq=124 ttl=63 time=1.91 ms
1729950891.076902516: 64 bytes from 192.168.6.21: icmp_seq=125 ttl=63 time=3.16 ms
1729950891.175879309: 64 bytes from 192.168.6.21: icmp_seq=126 ttl=63 time=1.84 ms
1729950891.279185338: 64 bytes from 192.168.6.21: icmp_seq=127 ttl=63 time=4.17 ms
